time,latitude,longitude,elevation,elevation_diff,distance,speed,cum_elevation,cum_distance,counter
2014-09-17 06:20:16+00:00,46.303075,10.98186,754.844,0.0,0.0,0.0,0.0,0.0,0
2014-09-17 06:26:00+00:00,46.301365,10.980137,760.105,5.260999999999967,231.68,0.6734883720930233,5.260999999999967,0.23168,0
2014-09-17 06:26:56+00:00,46.301606,10.97987,761.515,1.4099999999999682,33.75,0.6026785714285714,6.670999999999935,0.26543,0
2014-09-17 06:29:49+00:00,46.300925,10.978946,764.907,3.3920000000000528,103.79,0.5999421965317919,10.062999999999988,0.36922000000000005,0
2014-09-17 06:30:23+00:00,46.30027,10.978331,769.711,4.803999999999974,86.81,2.553235294117647,14.866999999999962,0.45603000000000005,0
2014-09-17 06:32:32+00:00,46.298428,10.975573,785.522,15.811000000000035,294.69,2.284418604651163,30.677999999999997,0.75072,0
2014-09-17 06:32:49+00:00,46.298125,10.975308,787.562,2.0399999999999636,39.37,2.3158823529411765,32.71799999999996,0.7900900000000001,0
2014-09-17 06:33:07+00:00,46.297717,10.975278,789.443,1.8809999999999718,45.43,2.523888888888889,34.59899999999993,0.8355199999999999,0
2014-09-17 06:34:08+00:00,46.296491,10.974591,797.153,7.710000000000036,146.19,2.3965573770491804,42.30899999999997,0.9817100000000001,0
2014-09-17 06:35:18+00:00,46.295106,10.974742,808.115,10.961999999999989,154.44,2.2062857142857144,53.27099999999996,1.13615,0
2014-09-17 06:36:04+00:00,46.294036,10.974572,809.144,1.0289999999999964,119.69,2.6019565217391305,54.299999999999955,1.25584,0
2014-09-17 06:38:04+00:00,46.292059,10.974971,817.754,8.610000000000014,221.96,1.8496666666666668,62.90999999999997,1.4778000000000002,0
2014-09-17 06:40:29+00:00,46.289527,10.973812,844.756,27.001999999999953,295.29,2.0364827586206897,89.91199999999992,1.77309,0
2014-09-17 06:40:50+00:00,46.28915,10.973505,849.511,4.7549999999999955,48.1,2.2904761904761903,94.66699999999992,1.82119,0
2014-09-17 06:42:11+00:00,46.288084,10.972084,868.707,19.196000000000026,161.16,1.9896296296296296,113.86299999999994,1.98235,0
2014-09-17 06:43:09+00:00,46.287216,10.971672,883.122,14.414999999999964,101.58,1.7513793103448276,128.2779999999999,2.0839300000000005,0
2014-09-17 06:44:00+00:00,46.286496,10.971052,894.293,11.17100000000005,93.16,1.8266666666666667,139.44899999999996,2.17709,0
2014-09-17 06:44:38+00:00,46.286205,10.970232,900.973,6.67999999999995,70.83,1.8639473684210526,146.1289999999999,2.24792,0
2014-09-17 06:45:26+00:00,46.286078,10.969199,909.184,8.211000000000013,80.62,1.6795833333333334,154.33999999999992,2.32854,0
2014-09-17 06:47:15+00:00,46.284796,10.967121,929.744,20.56000000000006,214.05,1.9637614678899085,174.89999999999998,2.54259,0
2014-09-17 06:47:44+00:00,46.284233,10.96696,935.056,5.312000000000012,63.81,2.200344827586207,180.212,2.6064000000000003,0
2014-09-17 06:49:15+00:00,46.283069,10.96523,954.375,19.31899999999996,185.54,2.038901098901099,199.53099999999995,2.79194,0
2014-09-17 06:49:43+00:00,46.282496,10.965228,959.568,5.192999999999984,63.71,2.275357142857143,204.72399999999993,2.8556500000000002,0
2014-09-17 06:50:23+00:00,46.281903,10.96586,967.742,8.173999999999978,81.89,2.04725,212.8979999999999,2.93754,0
2014-09-17 06:52:24+00:00,46.280228,10.963734,983.126,15.384000000000015,247.76,2.047603305785124,228.28199999999993,3.1853000000000002,0
2014-09-17 06:53:09+00:00,46.279485,10.963128,984.507,1.3809999999999718,94.84,2.107555555555556,229.6629999999999,3.2801400000000003,0
2014-09-17 06:54:09+00:00,46.279016,10.961866,990.873,6.366000000000099,110.12,1.8353333333333335,236.029,3.39026,0
2014-09-17 06:55:07+00:00,46.278389,10.961076,999.074,8.200999999999908,92.45,1.5939655172413794,244.2299999999999,3.48271,0
2014-09-17 06:55:35+00:00,46.27819,10.960503,1003.884,4.810000000000059,49.28,1.76,249.03999999999996,3.5319900000000004,0
2014-09-17 06:55:49+00:00,46.277983,10.960303,1006.275,2.3909999999999627,27.68,1.977142857142857,251.43099999999993,3.55967,0
2014-09-17 06:56:25+00:00,46.27734,10.960448,1011.425,5.149999999999977,72.36,2.01,256.5809999999999,3.6320300000000003,0
2014-09-17 06:57:11+00:00,46.276438,10.960271,1018.737,7.312000000000012,101.22,2.2004347826086956,263.8929999999999,3.73325,0
2014-09-17 06:57:50+00:00,46.275751,10.959785,1024.926,6.1889999999999645,85.03,2.18025641025641,270.0819999999999,3.81828,0
2014-09-17 06:58:22+00:00,46.275404,10.958966,1029.258,4.332000000000107,73.83,2.3071875,274.414,3.89211,0
2014-09-17 06:58:51+00:00,46.275383,10.958132,1035.052,5.793999999999869,64.14,2.2117241379310344,280.20799999999986,3.95625,0
2014-09-17 06:59:32+00:00,46.274399,10.957549,1038.417,3.365000000000009,118.24,2.88390243902439,283.57299999999987,4.07449,0
2014-09-17 06:59:46+00:00,46.274045,10.957495,1040.307,1.8900000000001,39.58,2.827142857142857,285.46299999999997,4.11407,0
2014-09-17 07:01:11+00:00,46.272412,10.9588,1053.792,13.4849999999999,207.44,2.440470588235294,298.94799999999987,4.321509999999999,0
2014-09-17 07:02:55+00:00,46.271046,10.961238,1070.153,16.361000000000104,241.22,2.319423076923077,315.30899999999997,4.562729999999999,0
2014-09-17 07:03:21+00:00,46.270542,10.961486,1074.913,4.759999999999991,59.2,2.276923076923077,320.06899999999996,4.621929999999999,0
