time,latitude,longitude,altitude,altitude_diff,distance,speed,relative_elevation,cum_distance,counter
2014-09-18 06:23:32+00:00,46.363803,10.895592,764.931,0.0,0.0,0.0,0.0,0.0,0
2014-09-18 06:24:14+00:00,46.363687,10.895473,805.761,40.82999999999993,15.8,0.3761904761904762,40.82999999999993,0.0158,0
2014-09-18 06:25:37+00:00,46.363725,10.895574,824.007,18.24599999999998,8.83,0.1063855421686747,59.07599999999991,0.024630000000000003,0
2014-09-18 06:26:41+00:00,46.364231,10.895524,825.407,1.400000000000091,56.4,0.88125,60.476,0.08103,0
2014-09-18 06:28:02+00:00,46.365102,10.894322,831.75,6.342999999999961,133.74,1.6511111111111112,66.81899999999996,0.21477000000000002,0
2014-09-18 06:29:49+00:00,46.365479,10.891955,840.311,8.561000000000035,186.4,1.7420560747663552,75.38,0.40117,0
2014-09-18 06:31:38+00:00,46.366617,10.889439,849.921,9.610000000000014,230.83,2.117706422018349,84.99000000000001,0.632,0
2014-09-18 06:33:32+00:00,46.366933,10.887685,860.542,10.620999999999981,139.09,1.2200877192982456,95.61099999999999,0.77109,0
2014-09-18 06:34:08+00:00,46.367544,10.886942,863.992,3.449999999999932,88.69,2.463611111111111,99.06099999999992,0.85978,0
2014-09-18 06:35:16+00:00,46.368271,10.885282,873.075,9.083000000000084,150.86,2.218529411764706,108.144,1.01064,0
2014-09-18 06:36:03+00:00,46.369055,10.884236,874.927,1.8519999999999754,118.49,2.521063829787234,109.99599999999998,1.12913,0
2014-09-18 06:40:01+00:00,46.370471,10.881131,881.785,6.857999999999947,285.56,1.1998319327731093,116.85399999999993,1.4146899999999998,0
2014-09-18 06:41:35+00:00,46.371157,10.881039,881.789,0.004000000000019099,76.61,0.815,116.85799999999995,1.4912999999999996,0
2014-09-18 06:42:07+00:00,46.371697,10.880582,884.617,2.8279999999999745,69.53,2.1728125,119.68599999999992,1.5608299999999997,0
2014-09-18 06:43:29+00:00,46.372651,10.878285,890.307,5.690000000000055,205.69,2.5084146341463414,125.37599999999998,1.7665199999999996,0
2014-09-18 06:44:01+00:00,46.372749,10.877348,893.755,3.447999999999979,72.71,2.2721875,128.82399999999996,1.8392299999999997,0
2014-09-18 06:44:41+00:00,46.373185,10.876407,899.566,5.8110000000000355,86.96,2.174,134.635,1.9261899999999998,0
2014-09-18 06:45:10+00:00,46.373567,10.875981,894.296,-5.269999999999982,53.59,1.8479310344827586,129.365,1.9797799999999997,0
2014-09-18 06:45:31+00:00,46.373271,10.876301,899.067,4.770999999999958,41.06,1.9552380952380954,134.13599999999997,2.0208399999999997,0
2014-09-18 06:46:50+00:00,46.373895,10.8748,911.057,11.990000000000009,134.44,1.701772151898734,146.12599999999998,2.15528,0
2014-09-18 06:47:10+00:00,46.373936,10.874307,913.94,2.883000000000038,38.1,1.905,149.00900000000001,2.1933799999999994,0
2014-09-18 06:48:25+00:00,46.37468,10.872969,926.922,12.981999999999971,131.84,1.7578666666666667,161.99099999999999,2.32522,0
2014-09-18 06:49:20+00:00,46.375426,10.872206,936.037,9.115000000000009,101.53,1.846,171.106,2.42675,0
2014-09-18 06:50:06+00:00,46.375882,10.871462,944.649,8.611999999999966,76.35,1.659782608695652,179.71799999999996,2.5031,0
2014-09-18 06:51:20+00:00,46.376391,10.870238,958.113,13.464000000000055,109.64,1.4816216216216216,193.18200000000002,2.6127399999999996,0
2014-09-18 06:52:01+00:00,46.376524,10.869408,963.407,5.293999999999983,65.37,1.594390243902439,198.476,2.6781099999999998,0
2014-09-18 06:52:17+00:00,46.376724,10.869166,964.88,1.4729999999999563,28.97,1.810625,199.94899999999996,2.7070799999999995,0
2014-09-18 06:52:47+00:00,46.377256,10.868977,968.781,3.9009999999999536,60.91,2.030333333333333,203.8499999999999,2.7679899999999993,0
2014-09-18 06:53:04+00:00,46.377411,10.868559,969.621,0.8400000000000318,36.4,2.1411764705882352,204.68999999999994,2.8043899999999993,0
2014-09-18 06:55:39+00:00,46.378106,10.867864,963.982,-5.63900000000001,93.89,0.605741935483871,199.05099999999993,2.8982799999999993,0
2014-09-18 06:55:44+00:00,46.37826,10.86732,961.952,-2.0299999999999727,45.11,9.022,197.02099999999996,2.9433899999999995,0
2014-09-18 06:55:51+00:00,46.378642,10.866809,961.075,-0.8769999999999527,57.8,8.257142857142856,196.144,3.00119,0
2014-09-18 06:56:10+00:00,46.379731,10.866199,953.387,-7.688000000000102,129.82,6.832631578947368,188.4559999999999,3.13101,0
2014-09-18 06:56:35+00:00,46.379024,10.867339,941.384,-12.002999999999929,117.59,4.7036,176.45299999999997,3.2485999999999997,0
2014-09-18 06:56:50+00:00,46.378373,10.869213,934.507,-6.877000000000066,160.96,10.730666666666668,169.5759999999999,3.40956,0
2014-09-18 06:56:55+00:00,46.37826,10.869773,931.717,-2.7899999999999636,44.76,8.952,166.78599999999994,3.45432,0
2014-09-18 06:57:02+00:00,46.378456,10.870041,931.207,-0.5099999999999909,29.96,4.28,166.27599999999995,3.48428,0
2014-09-18 06:59:12+00:00,46.38086,10.86783,949.425,18.21799999999996,316.58,2.435230769230769,184.49399999999991,3.80086,0
2014-09-18 07:00:42+00:00,46.382612,10.866588,955.246,5.821000000000026,216.86,2.409555555555556,190.31499999999994,4.017720000000001,0
2014-09-18 07:01:54+00:00,46.38351,10.864707,965.896,10.649999999999977,175.47,2.4370833333333333,200.96499999999992,4.19319,0
2014-09-18 07:02:53+00:00,46.384674,10.863941,974.967,9.071000000000026,142.14,2.409152542372881,210.03599999999994,4.335330000000001,0
