latitude,longitude,elevation,elevation_diff,distance,cum_elevation,cum_distance
46.410339,10.820454,1302.731,4.820999999999913,57.08,1302.731,10363.819999999998
46.410572,10.820232,1309.531,6.7999999999999545,31.0,1309.531,10394.819999999998
46.411282,10.824284,1325.314,15.78300000000013,320.53,1325.314,10715.349999999999
46.411218,10.825987,1323.476,-1.8379999999999654,130.76,1323.476,10846.109999999999
46.411356,10.826015,1324.826,1.349999999999909,15.49,1324.826,10861.599999999999
46.411575,10.825781,1328.247,3.421000000000049,30.25,1328.247,10891.849999999999
46.411389,10.825414,1331.611,3.3640000000000327,34.92,1331.611,10926.769999999999
46.411628,10.825082,1335.407,3.7959999999998217,36.8,1335.407,10963.569999999998
46.411677,10.825512,1338.329,2.9220000000000255,33.41,1338.329,10996.979999999998
46.412826,10.827991,1367.15,28.82100000000014,229.01,1367.15,11225.989999999998
46.413018,10.827418,1372.41,5.259999999999991,48.84,1372.41,11274.829999999998
46.412997,10.826994,1375.351,2.941000000000031,32.59,1375.351,11307.419999999998
46.413889,10.827878,1393.661,18.309999999999945,120.13,1393.661,11427.549999999997
46.413992,10.82784,1396.064,2.40300000000002,11.82,1396.064,11439.369999999997
46.414006,10.827297,1401.376,5.311999999999898,41.66,1401.376,11481.029999999997
46.413218,10.825992,1409.095,7.719000000000051,132.99,1409.095,11614.019999999997
46.413091,10.825387,1408.049,-1.0460000000000491,48.48,1408.049,11662.499999999996
46.413014,10.822912,1417.123,9.07400000000007,189.94,1417.123,11852.439999999997
46.412659,10.820568,1419.007,1.8840000000000146,183.99,1419.007,12036.429999999997
46.412909,10.821429,1429.136,10.128999999999905,71.62,1429.136,12108.049999999997
46.413033,10.820644,1440.797,11.661000000000058,61.74,1440.797,12169.789999999997
46.413504,10.822029,1456.167,15.36999999999989,118.39,1456.167,12288.179999999997
46.414039,10.822875,1468.628,12.461000000000013,88.01,1468.628,12376.189999999997
46.414095,10.823489,1475.358,6.730000000000018,47.48,1475.358,12423.669999999996
46.414492,10.823924,1483.041,7.682999999999993,55.32,1483.041,12478.989999999996
46.415009,10.825256,1498.453,15.412000000000035,117.18,1498.453,12596.169999999996
46.415534,10.825893,1511.379,12.92599999999993,76.11,1511.379,12672.279999999997
46.416214,10.826343,1525.805,14.426000000000158,83.11,1525.805,12755.389999999998
46.415799,10.824941,1545.025,19.220000000000027,116.96,1545.025,12872.349999999997
46.415379,10.82153,1581.507,36.48199999999997,265.63,1581.507,13137.979999999996
46.416064,10.822106,1596.984,15.476999999999862,88.04,1596.984,13226.019999999997
46.416044,10.821122,1609.435,12.451000000000022,75.47,1609.435,13301.489999999996
46.416235,10.820298,1618.065,8.63000000000011,66.64,1618.065,13368.129999999996
46.417306,10.818443,1640.236,22.17100000000005,185.48,1640.236,13553.609999999995
46.417479,10.817719,1648.836,8.599999999999909,58.74,1648.836,13612.349999999995
46.417248,10.816102,1665.689,16.853000000000065,126.59,1665.689,13738.939999999995
46.417945,10.813882,1694.971,29.281999999999925,187.0,1694.971,13925.939999999995
46.418425,10.812923,1702.651,7.680000000000064,90.85,1702.651,14016.789999999995
46.418767,10.811751,1722.801,20.149999999999864,97.56,1722.801,14114.349999999995
46.419116,10.811362,1728.611,5.810000000000173,48.94,1728.611,14163.289999999995
46.419247,10.812144,1735.307,6.695999999999913,61.69,1735.307,14224.979999999996
46.419905,10.810589,1756.022,20.714999999999918,139.86,1756.022,14364.839999999997
46.420064,10.809563,1766.183,10.161000000000058,80.61,1766.183,14445.449999999997
46.420101,10.80686,1792.583,26.40000000000009,207.24,1792.583,14652.689999999997
46.420536,10.805956,1803.184,10.600999999999885,84.51,1803.184,14737.199999999997
46.420542,10.806762,1810.344,7.160000000000082,61.79,1810.344,14798.989999999998
46.421025,10.808453,1818.047,7.7029999999999745,140.31,1818.047,14939.299999999997
46.420718,10.808607,1818.039,-0.008000000000038199,36.12,1818.039,14975.419999999998
46.420855,10.808477,1817.535,-0.5039999999999054,18.2,1817.535,14993.619999999999
46.420705,10.808769,1821.486,3.951000000000022,27.91,1821.486,15021.529999999999
46.420783,10.809495,1831.514,10.027999999999793,56.32,1831.514,15077.849999999999
46.421275,10.810933,1851.207,19.69300000000021,123.06,1851.207,15200.909999999998
46.421527,10.812443,1865.13,13.923000000000002,119.09,1865.13,15319.999999999998
46.421663,10.812845,1870.451,5.320999999999913,34.32,1870.451,15354.319999999998
46.421858,10.812953,1873.341,2.8899999999998727,23.21,1873.341,15377.529999999997
46.422222,10.812771,1878.132,4.791000000000167,42.81,1878.132,15420.339999999997
46.421962,10.812404,1887.212,9.079999999999927,40.34,1887.212,15460.679999999997
46.422302,10.812881,1883.875,-3.336999999999989,52.59,1883.875,15513.269999999997
46.422545,10.812969,1886.777,2.9020000000000437,27.85,1886.777,15541.119999999997
46.423195,10.813637,1887.298,0.5209999999999582,88.58,1887.298,15629.699999999997
46.423075,10.814097,1887.715,0.4169999999999163,37.7,1887.715,15667.399999999998
46.423178,10.814854,1894.426,6.711000000000013,59.14,1894.426,15726.539999999997
46.423644,10.815887,1906.007,11.581000000000131,94.63,1906.007,15821.169999999996
46.42361,10.816544,1913.226,7.219000000000051,50.5,1913.226,15871.669999999996
46.423809,10.817045,1918.937,5.710999999999785,44.32,1918.937,15915.989999999996
46.424037,10.817375,1922.337,3.400000000000091,35.81,1922.337,15951.799999999996
46.425066,10.817857,1929.018,6.68100000000004,120.24,1929.018,16072.039999999995
46.42528,10.818182,1930.598,1.5799999999999272,34.45,1930.598,16106.489999999996
46.425661,10.818391,1924.251,-6.34699999999998,45.29,1924.251,16151.779999999997
46.425945,10.818413,1931.013,6.761999999999944,31.62,1931.013,16183.399999999998
46.426842,10.818074,1928.169,-2.8439999999998236,103.07,1928.169,16286.469999999998
46.42785,10.818238,1928.104,-0.06500000000005457,112.79,1928.104,16399.26
46.428109,10.818654,1928.524,0.4199999999998454,42.96,1928.524,16442.219999999998
46.428748,10.818758,1931.907,3.383000000000038,71.5,1931.907,16513.719999999998
46.429025,10.818979,1934.313,2.4060000000001764,35.15,1934.313,16548.87
46.429764,10.819777,1947.844,13.530999999999949,102.43,1947.844,16651.3
46.430028,10.820274,1954.084,6.240000000000009,48.09,1954.084,16699.39
46.42996,10.820623,1955.975,1.890999999999849,27.8,1955.975,16727.19
46.430071,10.820907,1956.915,0.9400000000000546,25.02,1956.915,16752.21
46.429862,10.821301,1961.748,4.833000000000084,38.1,1961.748,16790.309999999998
46.42996,10.82178,1966.56,4.811999999999898,38.29,1966.56,16828.6
46.428523,10.823873,1989.169,22.60900000000015,226.41,1989.169,17055.01
46.42679,10.825662,2007.904,18.7349999999999,236.5,2007.904,17291.51
46.426641,10.826354,2013.124,5.220000000000027,55.57,2013.124,17347.079999999998
46.42673,10.826796,2017.507,4.383000000000038,35.29,2017.507,17382.37
46.427274,10.826925,2031.493,13.985999999999876,61.29,2031.493,17443.66
46.428461,10.827813,2050.644,19.15099999999984,148.5,2050.644,17592.16
46.428873,10.828316,2057.494,6.850000000000364,59.87,2057.494,17652.03
46.42902,10.829087,2063.695,6.201000000000022,61.31,2063.695,17713.34
46.429326,10.829435,2067.975,4.279999999999745,43.23,2067.975,17756.57
46.429441,10.829952,2070.398,2.423000000000229,41.64,2070.398,17798.21
46.429255,10.830312,2074.26,3.86200000000008,34.48,2074.26,17832.69
46.428398,10.831021,2100.669,26.40899999999965,109.7,2100.669,17942.39
46.428346,10.83126,2104.904,4.235000000000127,19.21,2104.904,17961.6
46.429294,10.831939,2139.624,34.7199999999998,117.56,2139.624,18079.16
46.430241,10.832023,2166.007,26.383000000000266,105.5,2166.007,18184.66
46.430371,10.832199,2168.933,2.925999999999931,19.77,2168.933,18204.43
46.430494,10.833199,2177.094,8.161000000000058,77.85,2177.094,18282.28
46.430092,10.833844,2186.764,9.670000000000073,66.65,2186.764,18348.93
46.430043,10.835496,2193.955,7.1909999999998035,126.73,2193.955,18475.66
46.429578,10.836306,2204.495,10.539999999999964,80.79,2204.495,18556.45
46.429579,10.836832,2212.658,8.163000000000011,40.31,2212.658,18596.760000000002
46.429162,10.838352,2229.46,16.802000000000135,125.38,2229.46,18722.140000000003
46.429552,10.83811,2238.189,8.728999999999814,47.17,2238.189,18769.31
46.430076,10.838057,2243.906,5.717000000000098,58.41,2243.906,18827.72
46.431111,10.83715,2256.826,12.920000000000073,134.45,2256.826,18962.170000000002
46.43145,10.836487,2260.707,3.880999999999858,63.27,2260.707,19025.440000000002
46.431518,10.835715,2263.695,2.9880000000002838,59.65,2263.695,19085.090000000004
46.431783,10.835279,2264.576,0.8809999999998581,44.55,2264.576,19129.640000000003
46.432964,10.834955,2284.246,19.670000000000073,133.65,2284.246,19263.290000000005
46.433263,10.834659,2289.057,4.810999999999694,40.25,2289.057,19303.540000000005
46.433303,10.834171,2295.327,6.270000000000437,37.66,2295.327,19341.200000000004
46.433754,10.833724,2298.77,3.4429999999997563,60.73,2298.77,19401.930000000004
46.434356,10.832249,2317.442,18.672000000000025,131.37,2317.442,19533.300000000003
46.434369,10.831077,2318.436,0.9940000000001419,89.83,2318.436,19623.130000000005
46.434727,10.829709,2325.117,6.68100000000004,112.14,2325.117,19735.270000000004
46.434582,10.828116,2332.318,7.201000000000022,123.14,2332.318,19858.410000000003
46.43483,10.826566,2345.807,13.488999999999578,121.94,2345.807,19980.350000000002
46.435513,10.825684,2353.98,8.17300000000023,101.67,2353.98,20082.02
46.436552,10.824979,2371.281,17.30099999999993,127.54,2371.281,20209.56
46.437359,10.823994,2376.021,4.7400000000002365,117.26,2376.021,20326.82
46.438685,10.822948,2391.972,15.951000000000022,167.82,2391.972,20494.64
46.44022,10.821199,2420.342,28.36999999999989,217.01,2420.342,20711.649999999998
46.44027,10.820764,2434.265,13.922999999999774,33.79,2434.265,20745.44
46.44033,10.821132,2433.727,-0.5380000000000109,28.98,2433.727,20774.42
46.440539,10.820991,2440.951,7.22400000000016,25.63,2440.951,20800.05
46.440828,10.821361,2452.501,11.550000000000182,42.85,2452.501,20842.899999999998
46.441061,10.821324,2460.611,8.109999999999673,26.06,2460.611,20868.96
46.441384,10.821618,2466.407,5.7960000000002765,42.4,2466.407,20911.36
46.441848,10.82162,2464.072,-2.3350000000000364,51.59,2464.072,20962.95
46.442504,10.822304,2461.663,-2.4090000000001055,89.82,2461.663,21052.77
46.443191,10.822349,2453.953,-7.710000000000036,76.47,2453.953,21129.24
46.443862,10.822659,2438.084,-15.869000000000142,78.3,2438.084,21207.54
46.444599,10.823116,2416.934,-21.149999999999636,89.12,2416.934,21296.66
46.444469,10.823314,2410.657,-6.277000000000044,20.95,2410.657,21317.61
46.444727,10.823801,2405.889,-4.768000000000029,47.07,2405.889,21364.68
46.445158,10.826134,2404.427,-1.461999999999989,185.07,2404.427,21549.75
46.445762,10.827115,2398.268,-6.1590000000001055,100.8,2398.268,21650.55
46.4455,10.828353,2384.214,-14.054000000000087,99.23,2384.214,21749.78
46.445715,10.829514,2381.807,-2.407000000000153,92.11,2381.807,21841.89
